book,file,verse
armaghan-e-hijaz,01.json,میں تو اس کی عاقبت بینی کا کچھ قائل نہیں جس نے افرنگی سیاست کو کیا یوں بے حجاب
armaghan-e-hijaz,01.json,اے ترے سوز نفس سے کار عالم استوار! تو نے جب چاہا، کیا ہر پردگی کو آشکار
armaghan-e-hijaz,01.json,آب و گل تیری حرارت سے جہان سوز و ساز ابلہ جنت تری تعلیم سے دانائے کار
armaghan-e-hijaz,01.json,تجھ سے بڑھ کر فطرت آدم کا وہ محرم نہیں سادہ دل بندوں میں جو مشہور ہے پروردگار
armaghan-e-hijaz,01.json,کام تھا جن کا فقط تقدیس و تسبیح و طواف تیری غیرت سے ابد تک سرنگون و شرمسار
armaghan-e-hijaz,01.json,گرچہ ہیں تیرے مرید افرنگ کے ساحر تمام اب مجھے ان کی فراست پر نہیں ہے اعتبار
armaghan-e-hijaz,01.json,وہ یہودی فتنہ گر، وہ روح مزدک کا بروز ہر قبا ہونے کو ہے اس کے جنوں سے تار تار
armaghan-e-hijaz,01.json,زاغ دشتی ہو رہا ہے ہمسر شاہین و چرغ کتنی سرعت سے بدلتا ہے مزاج روزگار
armaghan-e-hijaz,01.json,چھا گئی آشفتہ ہو کر وسعت افلک پر جس کو نادانی سے ہم سمجھے تھے اک مشت غبار
armaghan-e-hijaz,01.json,فتنۂ فردا کی ہیبت کا یہ عالم ہے کہ آج کانپتے ہیں کوہسار و مرغزار و جوئبار
armaghan-e-hijaz,01.json,میرے آقا! وہ جہاں زیر و زبر ہونے کو ہے جس جہاں کا ہے فقط تیری سیادت پر مدار
armaghan-e-hijaz,01.json,ہے مرے دست تصرف میں جہان رنگ و بو کیا زمیں، کیا مہر و مہ، کیا آسمان تو بتو
armaghan-e-hijaz,01.json,دیکھ لیں گے اپنی آنکھوں سے تماشا غرب و شرق میں نے جب گرما دیا اقوام یورپ کا لہو
armaghan-e-hijaz,01.json,کیا امامان سیاست، کیا کلیسا کے شیوخ سب کو دیوانہ بنا سکتی ہے میری ایک ہو
armaghan-e-hijaz,01.json,کارگاہ شیشہ جو ناداں سمجھتا ہے اسے توڑ کر دیکھے تو اس تہذیب کے جام و سبو!
armaghan-e-hijaz,01.json,دست فطرت نے کیا ہے جن گریبانوں کو چاک مزدکی منطق کی سوزن سے نہیں ہوتے رفو
armaghan-e-hijaz,01.json,کب ڈرا سکتے ہیں مجھ کو اشتراکی کوچہ گرد یہ پریشاں روزگار، آشفتہ مغز، آشفتہ مو
armaghan-e-hijaz,01.json,ہے اگر مجھ کو خطر کوئی تو اس امت سے ہے جس کی خاکستر میں ہے اب تک شرار آرزو
armaghan-e-hijaz,01.json,خال خال اس قوم میں اب تک نظر آتے ہیں وہ کرتے ہیں اشک سحر گاہی سے جو ظالم وضو
armaghan-e-hijaz,01.json,جانتا ہے، جس پہ روشن باطن ایام ہے مزدکیت فتنہ فردا نہیں، اسلم ہے!
armaghan-e-hijaz,01.json,جانتا ہوں میں یہ امت حامل قرآں نہیں ہے وہی سرمایہ داری بندہ مومن کا دیں
armaghan-e-hijaz,01.json,جانتا ہوں میں کہ مشرق کی اندھیری رات میں بے ید بیضا ہے پیران حرم کی آستیں
armaghan-e-hijaz,01.json,عصر حاضر کے تقاضاوں سے ہے لیکن یہ خوف ہو نہ جائے آشکارا شرع پیغمبر کہیں
armaghan-e-hijaz,01.json,الحذر! آئین پیغمبر سے سو بار الحذر حافظ ناموس زن، مرد آزما، مرد آفریں
armaghan-e-hijaz,01.json,موت کا پیغام ہر نوع غلمی کے لیے نے کوئی فغفور و خاقاں، نے فقیر رہ نشیں
armaghan-e-hijaz,01.json,کرتا ہے دولت کو ہر آلودگی سے پاک صاف منعموں کو مال و دولت کا بناتا ہے امیں
armaghan-e-hijaz,01.json,اس سے بڑھ کر اور کیا فکر و عمل کا انقلب پادشاہوں کی نہیں، ال کی ہے یہ زمیں!
armaghan-e-hijaz,01.json,چشم عالم سے رہے پوشیدہ یہ آئیں تو خوب یہ غنیمت ہے کہ خود مومن ہے محروم یقیں
armaghan-e-hijaz,01.json,ہے یہی بہتر الہیات میں الجھا رہے یہ کتاب ال کی تاویلت میں الجھا رہے
armaghan-e-hijaz,01.json,توڑ ڈالیں جس کی تکبیریں طلسم شش جہات ہو نہ روشن اس خدا اندیش کی تاریک رات
armaghan-e-hijaz,01.json,ابن مریم مر گیا یا زندہ جاوید ہے ہیں صفات ذات حق، حق سے جدا یا عین ذات؟
armaghan-e-hijaz,01.json,آنے والے سے مسیح ناصری مقصود ہے یا مجدد، جس میں ہوں فرزند مریم کے صفات؟
armaghan-e-hijaz,01.json,ہیں کلم ال کے الفاظ حادث یا قدیم امت مرحوم کی ہے کس عقیدے میں نجات؟
armaghan-e-hijaz,01.json,کیا مسلماں کے لیے کافی نہیں اس دور میں یہ الہیات کے ترشے ہوئے لت و منات؟
armaghan-e-hijaz,01.json,تم اسے بیگانہ رکھو عالم کردار سے تا بساط زندگی میں اس کے سب مہرے ہوں مات
armaghan-e-hijaz,01.json,خیر اسی میں ہے، قیامت تک رہے مومن غلم چھوڑ کر اوروں کی خاطر یہ جہان بے ثبات
armaghan-e-hijaz,01.json,ہے وہی شعر و تصوف اس کے حق میں خوب تر جو چھپا دے اس کی آنکھوں سے تماشائے حیات
armaghan-e-hijaz,01.json,ہر نفس ڈرتا ہوں اس امت کی بیداری سے میں ہے حقیقت جس کے دیں کی احتساب کائنات
armaghan-e-hijaz,01.json,مست رکھو ذکر و فکر صبحگاہی میں اسے پختہ تر کر دو مزاج خانقاہی میں اسے
armaghan-e-hijaz,02.json,ہو تیرے بیاباں کی ہوا تجھ کو گوارا اس دشت سے بہتر ہے نہ دلی نہ بخارا
armaghan-e-hijaz,02.json,جس سمت میں چاہے صفت سیل رواں چل وادی یہ ہماری ہے، وہ صحرا بھی ہمارا
armaghan-e-hijaz,02.json,غیرت ہے بڑی چیز جہان تگ و دو میں پہناتی ہے درویش کو تاج سر دارا
armaghan-e-hijaz,02.json,حاصل کسی کامل سے یہ پوشیدہ ہنر کر کہتے ہیں کہ شیشے کو بنا سکتے ہیں خارا
armaghan-e-hijaz,02.json,افراد کے ہاتھوں میں ہے اقوام کی تقدیر ہر فرد ہے ملت کے مقدر کا ستارا
armaghan-e-hijaz,02.json,محروم رہا دولت دریا سے وہ غواص کرتا نہیں جو صحبت ساحل سے کنارا
armaghan-e-hijaz,02.json,دیں ہاتھ سے دے کر اگر آزاد ہو ملت ہے ایسی تجارت میں مسلماں کا خسارا
armaghan-e-hijaz,02.json,دنیا کو ہے پھر معرکۂ روح و بدن پیش تہذیب نے پھر اپنے درندوں کو ابھارا
armaghan-e-hijaz,02.json,اللہ کو پامردی مومن پہ بھروسا ابلیس کو یورپ کی مشینوں کا سہارا
armaghan-e-hijaz,02.json,تقدیر امم کیا ہے، کوئی کہہ نہیں سکتا مومن کی فراست ہو تو کافی ہے اشارا
armaghan-e-hijaz,02.json,اخلص عمل مانگ نیا گان کہن سے شاہاں چہ عجب گر بنوازند گدا را!
armaghan-e-hijaz,03.json,کہا تصویر نے تصویر گر سے نمائش ہے مری تیرے ہنر سے ولیکن کس قدر نا منصفی ہے کہ تو پوشیدہ ہو میری نظر سے!
armaghan-e-hijaz,03.json,گراں ہے چشم بینا دیدہ ور پر جہاں بینی سے کیا گزری شرر پر! نظر، درد و غم و سوز و تب و تاب تو اے ناداں، قناعت کر خبر پر
armaghan-e-hijaz,03.json,خبر، عقل و خرد کی ناتوانی نظر، دل کی حیات جاودانی نہیں ہے اس زمانے کی تگ و تاز سزاوار حدیث 'لن ترانی'
armaghan-e-hijaz,03.json,تو ہے میرے کمالات ہنر سے نہ ہو نومید اپنے نقش گر سے مرے دیدار کی ہے اک یہی شرط کہ تو پنہاں نہ ہو اپنی نظر سے
armaghan-e-hijaz,04.json,کیا شے ہے، کس امروز کا فردا ہے قیامت اے میرے شبستاں کہن! کیا ہے قیامت؟
armaghan-e-hijaz,04.json,اے مردئہ صد سالہ! تجھے کیا نہیں معلوم؟ ہر موت کا پوشیدہ تقاضا ہے قیامت!
armaghan-e-hijaz,04.json,جس موت کا پوشیدہ تقاضا ہے قیامت اس موت کے پھندے میں گرفتار نہیں میں
armaghan-e-hijaz,04.json,ہر چند کہ ہوں مردئہ صد سالہ ولیکن ظلمت کدہ خاک سے بیزار نہیں میں
armaghan-e-hijaz,04.json,ہو روح پھر اک بار سوار بدن زار ایسی ہے قیامت تو خریدار نہیں میں
armaghan-e-hijaz,04.json,نے نصیب مار و کژدم، نے نصیب دام و دد ہے فقط محکوم قوموں کے لیے مرگ ابد
armaghan-e-hijaz,04.json,بانگ اسرافیل ان کو زندہ کر سکتی نہیں روح سے تھا زندگی میں بھی تہی جن کا جسد
armaghan-e-hijaz,04.json,مر کے جی اٹھنا فقط آزاد مردوں کا ہے کام گرچہ ہر ذی روح کی منزل ہے آغوش لحد
armaghan-e-hijaz,04.json,آہ، ظالم! تو جہاں میں بندہ محکوم تھا ناکمیں نہ سمجھی تھی کہ ہے کیوں خاک میری سوز
armaghan-e-hijaz,04.json,تیری میت سے مری تاریکیاں تاریک تر تیری میت سے زمیں کا پردئہ ناموس چاک
armaghan-e-hijaz,04.json,الحذر، محکوم کی میت سے سو بار الحذر اے سرافیل! اے خدائے کائنات! اے جان پاک!
armaghan-e-hijaz,04.json,گرچہ برہم ہے قیامت سے نظام ہست و بود ہیں اسی آشوب سے بے پردہ اسرار وجود
armaghan-e-hijaz,04.json,زلزلے سے کوہ و در اڑتے ہیں مانند سحاب زلزلے سے وادیوں میں تازہ چشموں کی نمود
armaghan-e-hijaz,04.json,ہر نئی تعمیر کو لازم ہے تخریب تمام ہے اسی میں مشکلات زندگانی کی کشود
armaghan-e-hijaz,04.json,آہ یہ مرگ دوام، آہ یہ رزم حیات ختم بھی ہوگی کبھی کشمکش کائنات! عقل کو ملتی نہیں اپنے بتوں سے نجات عارف و عامی تمام بندئہ لات و منات خوار ہوا کس قدر آدم یزداں صفات قلب و نظر پر گراں ایسے جہاں کا ثبات کیوں نہیں ہوتی سحر حضرت انساں کی رات؟
armaghan-e-hijaz,05.json,ہو مبارک اس شہنشاہ نکو فرجام کو جس کی قربانی سے اسرار ملوکیت ہیں فاش
armaghan-e-hijaz,05.json,'شاہ' ہے برطانوی مندر میں اک مٹی کا بت جس کو کر سکتے ہیں، جب چاہیں پجاری پاش پاش
armaghan-e-hijaz,05.json,ہے یہ مشک آمیز افیوں ہم غلاموں کے لیے ساحر انگلیس! مارا خواجہ دیگر تراش
armaghan-e-hijaz,06.json,اس دیر کہن میں ہیں غرض مند پجاری رنجیدہ بتوں سے ہوں تو کرتے ہیں خدا یاد
armaghan-e-hijaz,06.json,پوجا بھی ہے بے سود، نمازیں بھی ہیں بے سود قسمت ہے غریبوں کی وہی نالہ و فریاد
armaghan-e-hijaz,06.json,ہیں گرچہ بلندی میں عمارات فلک بوس ہر شہر حقیقت میں ہے ویرانہء آباد
armaghan-e-hijaz,06.json,تیشے کی کوئی گردش تقدیر تو دیکھے سیراب ہے پرویز، جگر تشنہ ہے فرہاد
armaghan-e-hijaz,06.json,یہ علم، یہ حکمت، یہ سیاست، یہ تجارت جو کچھ ہے، وہ ہے فکر ملوکانہ کی ایجاد
armaghan-e-hijaz,06.json,اللہ! ترا شکر کہ یہ خطہ پر سوز سوداگر یورپ کی غلامی سے ہے آزاد!
armaghan-e-hijaz,07.json,یہ مہر و مہ، یہ ستارے یہ آسمان کبود کسے خبر کہ یہ عالم عدم ہے یا کہ وجود
armaghan-e-hijaz,07.json,خیال جادہ و منزل فسانہ و افسوں کہ زندگی ہے سراپا رحیل بے مقصود
armaghan-e-hijaz,07.json,رہی نہ آہ، زمانے کے ہاتھ سے باقی وہ یادگار کمالات احمد و محمود
armaghan-e-hijaz,07.json,زوال علم و ہنر مرگ ناگہاں اس کی وہ کارواں کا متاع گراں بہا مسعود!
armaghan-e-hijaz,07.json,مجھے رلاتی ہے اہل جہاں کی بیدردی فغان مرغ سحر خواں کو جانتے ہیں سرود
armaghan-e-hijaz,07.json,نہ کہہ کہ صبر میں پنہاں ہے چارئہ غم دوست نہ کہہ کہ صبر معمائے موت کی ہے کشود
armaghan-e-hijaz,07.json,دلے کہ عاشق و صابر بود مگر سنگ است ز عشق تا بہ صبوری ہزار فرسنگ است (سعدی)
armaghan-e-hijaz,07.json,نہ مجھ سے پوچھ کہ عمر گریز پا کیا ہے کسے خبر کہ یہ نیرنگ و سیمیا کیا ہے
armaghan-e-hijaz,07.json,ہوا جو خاک سے پیدا، وہ خاک میں مستور مگر یہ غیبت صغری ہے یا فنا، کیا ہے!
armaghan-e-hijaz,07.json,غبار راہ کو بخشا گیا ہے ذوق جمال خرد بتا نہیں سکتی کہ مدعا کیا ہے
armaghan-e-hijaz,07.json,دل و نظر بھی اسی آب و گل کے ہیں اعجاز نہیں تو حضرت انساں کی انتہا کیا ہے؟
armaghan-e-hijaz,07.json,جہاں کی روح رواں 'لا الہ الا ھو، مسیح و میخ و چلیپا، یہ ماجرا کیا ہے!
armaghan-e-hijaz,07.json,قصاص خون تمنا کا مانگیے کس سے گناہ گار ہے کون، اور خوں بہا کیا ہے
armaghan-e-hijaz,07.json,غمیں مشو کہ بہ بند جہاں گرفتاریم طلسم ہا شکند آں دلے کہ ما داریم
armaghan-e-hijaz,07.json,خودی ہے زندہ تو ہے موت اک مقام حیات کہ عشق موت سے کرتا ہے امتحان ثبات
armaghan-e-hijaz,07.json,خودی ہے زندہ تو دریا ہے بے کرانہ ترا ترے فراق میں مضطر ہے موج نیل و فرات
armaghan-e-hijaz,07.json,خودی ہے مردہ تو مانند کاہ پیش نسیم خودی ہے زندہ تو سلطان جملہ موجودات
armaghan-e-hijaz,07.json,نگاہ ایک تجلی سے ہے اگر محروم دو صد ہزار تجلی تلافی مافات
armaghan-e-hijaz,07.json,مقام بندئہ مومن کا ہے ورائے سپہر زمیں سے تا بہ ثریا تمام لات و منات
armaghan-e-hijaz,07.json,حریم ذات ہے اس کا نشیمن ابدی نہ تیرہ خاک لحد ہے، نہ جلوہ گاہ صفات
armaghan-e-hijaz,07.json,خود آگہاں کہ ازیں خاک داں بروں جستند طلسم مہر و سپہر و ستارہ بشکستند
armaghan-e-hijaz,08.json,آتی ہے دم صبح صدا عرش بریں سے کھویا گیا کس طرح ترا جوہر ادراک!
armaghan-e-hijaz,08.json,کس طرح ہوا کند ترا نشتر تحقیق ہوتے نہیں کیوں تجھ سے ستاروں کے جگر چاک
armaghan-e-hijaz,08.json,تو ظاہر و باطن کی خلافت کا سزاوار کیا شعلہ بھی ہوتا ہے غلام خس و خاشاک
armaghan-e-hijaz,08.json,مہر و مہ و انجم نہیں محکوم ترے کیوں کیوں تری نگاہوں سے لرزتے نہیں افلاک
armaghan-e-hijaz,08.json,اب تک ہے رواں گرچہ لہو تیری رگوں میں نے گرمی افکار، نہ اندیشہ بے باک
armaghan-e-hijaz,08.json,روشن تو وہ ہوتی ہے، جہاں بیں نہیں ہوتی جس آنکھ کے پردوں میں نہیں ہے نگہ پاک
armaghan-e-hijaz,08.json,باقی نہ رہی تیری وہ آئینہ ضمیری اے کشتہء سلطانی و ملائی و پیری!
